hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"Office",11823.218684541267,8086.987431922917,5196.467532467533,9625.412442396313,6613.012568077083,8689.948051948051,15486.081692501048,172305.63385002094,12995.640552995392,9547.913699204022,29403.47046501885,9244.636782572266,17733.69384892807,14779.819857561793,13600.811059907834,14752.493506493505,12916.347088395474,11393.406298003072,9302.907834101383,22607.708192929087,10956.751885211563,17380.481147884373,119233.74305264628,22127.567239212403
"Browsers",10462683.000858407,5327413.116624048,1551654.6619002437,279488.7496159754,226278.1769571352,132849.25806451612,494546.25133689836,13893043.97198469,1432991.7012878081,256363.10929869843,688520.4278810456,9402770.54681398,7192128.833694238,7613512.369882544,11806210.408806082,3243068.7261312786,292732.6504708475,1175451.8912208641,4828249.104757738,5518532.95136147,10679651.678446693,8472180.028889013,8671848.879535569,6423890.365373716
"SMS and Phone",5747.148709985666,2458.3488612836436,2292.831780538302,1832.8426501035196,2066.1666666666665,1195.8442028985507,2114.1190476190477,3339.13198757764,7575.8467908902685,12643.207039337474,11654.045548654245,9430.623188405796,14576.694776238255,10477.611283643892,11575.99585921325,11157.879399585921,11663.41563146998,14366.496297181078,10583.400979455328,14644.954053193182,20319.99550087593,12661.910097149226,10138.475354355789,10709.24741200828
"Google Play Updates",3209306.087546086,3570308.750680905,87054.95299265951,3333.442687747036,44.036735642873744,130.67298302720297,2456.685421994885,29435856.999722496,1514420.5437355868,133462.8933374191,1052070.3697202203,9087.401991231276,698.5004950086627,1987.7463380609163,18123433.120437108,767569.55118411,197901.07951639153,198727.83880691126,771071.9825359446,2582.345279792396,3008293.422769898,8210858.2648600815,947386.5512591113,641608.4272926562
"Navigation and Travel",53283.82635670026,67805.42772146864,6864.576347641029,130820.36386506271,6581.170784032676,9555.12304591704,9036.229895863838,46218087.41619862,402135.99167279387,153780.94283752987,106318.65199410221,447722.1915889022,146418.76114396562,31700.53633188581,118127.20035640459,38657.01786027135,72850.32453302822,134854.68519277385,92733.09117542798,35901.12523026845,103766.64969348501,40949.283054143,107738.97921631215,84566.19277841481
"Analysers",1098509.3664283836,895766.2010686973,524745.3104492447,621116.6825210718,658000.2087844021,849295.208237662,1155654.6070321342,1721801.3443476125,1070550.2310740093,886719.9749969594,1376199.6367538767,1410696.4773316705,2032795.508636154,1733676.7024919156,1989347.2550013307,1820663.9146653542,1667599.1611822303,2037739.8184976957,1733305.1647874238,3615089.6091541834,1650705.6144206217,1494791.0610958838,1511885.3008833558,1671558.5909356917
"Security",3172.978494623656,17865.26054590571,35004.44665012406,9772.934656741108,2595.334160463193,4249.7105045492135,2534.407775020678,4935.802315963606,18585.19933829611,48703.40446650124,63271.34574028123,33438.390405293634,18908.452440033085,67057.56079404466,36475.48800661704,76611.05872622003,61295.40033085194,85665.42266335814,19778.523573200993,97177.77171215879,37552.00744416874,98392.45078577337,54934.511166253105,42404.29611248967
"Settings",0.0,0.0,0.0,0.0,6315.176470588235,4975.294117647059,4432.470588235294,37333.41176470588,39521.82352941176,0.0,27881.294117647056,12098.470588235294,0.0,0.0,0.0,0.0,0.0,0.0,5390.470588235294,0.0,7738.64705882353,0.0,0.0,0.0
"Searching and Wikis",75481.11490588449,69680.10427032062,46674.35353946304,56889.699528718396,51314.38265544647,55350.3727647514,56357.26830819815,276863.910080013,176243.17993700883,87303.9364709006,92453.25677773537,110302.43793484793,97159.18880092764,111992.52752260391,94791.47329793932,167410.44601527776,125270.44830498818,141081.7845654744,193285.79931682456,154979.08286232234,614916.6104702849,197977.19550605872,279451.6390006331,391751.09123982466
"Reading",0.0,0.0,0.0,0.0,0.0,1250.090909090909,7512.741935483871,402.8709677419355,1078.3870967741937,320.5806451612903,0.0,0.0,981.5806451612902,322.8387096774194,557.0322580645161,1334.3870967741934,0.0,7291.064516129032,18.90909090909091,5831.777126099707,251.70967741935485,831.9677419354839,1561.483870967742,760.3870967741935
"Online Dating",456198.4265010352,454190.09213250515,477.67391304347825,9.673913043478262,5465.85817805383,0.0,0.0,332796.0341614907,810665.6935817804,1631977.076604555,539335.7774327123,815174.5248447204,471346.5797101449,1017744.8850931677,1237123.8685300206,885161.0486542443,1224354.7329192543,1576652.7505175984,1671694.7629399586,1013963.16563147,787183.6014492754,722712.0403726706,1302356.206004141,2082739.2505175981
